ExternalID;Title;SKU;Price;Quantity;Category;Description;Designer;Packaging;ReadyToShip
arh-en-001;U8 [ABSTRACTOR];ABSTRACTOR-II;188000;15;5D;Hooded top in ARHOMUS timeless sculptural abstraction concept.;Tim Viter;Collector hanger U8 + branded storage backpack.;1 day
arh-en-002;U8 [METALLER];RELAXER;88000;13;3D;High-tech hoodie with integrated metal chain carabiner.;Tim Viter;Branded ARHOMUS packaging.;1 day
arh-en-003;U8 [STARTER];STARTER;288000;8;3D;Deconstructed denim jacket with detachable hood.;Tim Viter;Collector hanger U8 + branded storage backpack.;1 day
arh-en-004;U8 [CODER];CODER-ALIAS;88000;1;5D;Denim jacket with U8 code artwork and technical hardware.;Tim Viter;Collector hanger U8 + branded storage backpack.;1 day
arh-en-005;U8 [GINZER];QUANTER;188000;4;4D;Neo-Asian kimono-jacket with geometric architecture.;Tim Viter;Collector hanger U8 + branded storage backpack.;1 day
arh-en-006;U8 [TRACKER];TRACKER;188000;5;4D;Military-inspired jacket with detachable clutch pocket.;Tim Viter;Collector hanger U8 + branded storage backpack.;1 day
arh-en-007;U8 [TRACKER+];TRACKER-PLUS-ALIAS;88000;2;4D;Military-inspired pants with deconstruction details.;Tim Viter;Branded ARHOMUS packaging.;1 day
arh-en-008;U8 [ZIPPER];FIXXER-ALIAS;188000;19;3D;Vest-backpack with multi-functional pocket architecture.;Tim Viter;Branded storage backpack + ARHOMUS packaging.;1 day
arh-en-009;U8 [AVATAR];AVATAR-GREY;188000;13;3D;Layered t-shirt canvas expressing inner-to-outer transformation.;Tim Viter;Branded ARHOMUS packaging.;1 day
arh-en-010;U8 [FREESTYLER];FREESTYLER;388000;6;4D;Membrane outerwear jacket for active lifestyle and snowboarding.;Tim Viter;Collector hanger U8 + backpack + balaclava.;1 day
